appid,PGDR
359550,21.628716998778724
271590,38.0044731070683
252950,16.55379094715864
252490,22.061985037052033
346110,13.679152213562832
4000,31.12161241329
218620,66.38596824206601
227300,-1.600999910015686
107410,2.1224925961924197
365590,30.651802419503035
377160,20.948191027201506
289070,11.983554325732866
105600,96.72263423494371
476620,-29.078977093096185
10,1.5350950724437102
292030,77.23331273858014
381210,14.028492871861324
236850,13.152182284751808
489830,26.659236737237343
306130,13.10209823957584
435150,28.04135536984037
394360,14.318191517969735
251570,48.275930159260454
281990,9.04675789154179
550,23.389465476309503
594570,-3.8462949728880966
221380,1.9513325132228738
582660,19.05946503134338
255710,-0.5452543323981216
214950,0.06272207823342235
294100,72.39809176663022
413150,281.16056599702205
582160,34.72726536147203
322330,31.922238241748236
447020,-9.68945605287641
49520,-10.6487907119216
48700,17.21750734570882
374320,16.12493990621344
268500,9.184257743303956
311290,44.54939685351587
240,0.42130817977273294
203770,-15.144068063940239
356190,50.44197929566549
253920,86.39623514238771
242760,34.362263220589895
250900,21.074051536476258
485510,25.816946510440037
219990,7.964448979044062
259340,4.035063439465906
231430,-1.0375162257327848
359320,21.027354542152608
364360,-12.256594127200884
22380,13.374995022930316
244850,49.828650053203745
325610,0.8367161987126613
298610,-9.37631099055606
264710,39.389101381116504
322170,14.665315322256797
211820,6.744392941489977
242920,0.5011546586637472
460930,18.986983471044773
373420,23.809947842515385
220200,7.095748097029277
10500,-3.272527304677159
4700,-0.3150595037032766
221100,55.605238579233536
239140,17.26065577210261
232090,-12.515980885680376
457140,102.50884887392999
55100,0.18300178677146345
391220,16.646182908646512
47890,3.1346282022165934
314160,8.265419578476108
305620,26.738564564249717
268910,46.65074850127785
628890,13.441513443475833
612880,92.87287501505324
270880,10.443844370327371
475150,24.031167801710634
620,40.766561535485145
440900,33.595298812582975
34330,38.38827871363685
225540,22.875864376242195
619890,214.67819546470113
240720,112.31197229782387
105450,9.170807569136965
219740,16.54936326112979
311210,17.841429511601277
493340,0.7093374766308769
346010,238.65014460393235
595460,11.472496750054503
383120,-1.2736273408805738
262060,25.772250469993693
284160,53.64993766431196
244210,8.918866089717973
389730,18.923951307123055
518790,31.846579165372226
446800,-13.678317216205636
222880,-8.540604734507934
379720,68.52281926724729
674940,71.90134120652205
335300,17.2822742902578
287700,19.766453367637794
392110,43.40075442330161
286160,53.14592266268071
411300,11.353166553941533
241930,23.87478905048978
393380,39.501034920185894
477160,58.5820914266993
33930,0.5968043985528373
202990,-19.61801069467504
515220,9.30444934907124
228200,5.3033057752519435
454650,26.68508655224889
304390,24.591518286087314
24010,2.13918536210373
10190,-65.05633218642441
645630,1.6448131434801467
476600,-38.320979526142295
663390,685.063870376015
34030,-2.545016066144877
378860,4.142108457236457
384300,8.058299362949263
418460,-1.232786297217324
367520,49.79700876969947
244450,5.462652742201262
312660,2.3369661376934716
363150,-0.7440316378249809
282070,30.746475572202858
200510,4.123186714970089
233450,19.938438194142144
242050,24.596737027730626
403640,56.779230355102904
524220,33.22920899059494
469600,26.83023281273521
4760,3.1469026889012968
387990,150.61565990211457
480490,157.11412236349977
447040,34.35665312393825
688470,71.15249411862612
261640,-17.72537151076542
266840,2.6150264755768036
203160,144.80663966567556
291650,13.43091355911507
212680,16.8008812046955
337000,9.834158649814935
415200,11.904625721706166
32470,14.903770610062724
569480,22.358087413000096
473690,-18.114450149415593
433340,32.34693841321035
234140,29.712958822214638
298110,38.74455592478801
201810,57.47176303747985
290080,9.261538393257617
445220,226.59299368237598
8800,5.12455849965318
208650,1.673330467621962
326460,-13.740877845987319
529180,31.892069166774284
438740,1.9770227504802338
8980,-13.68071789599105
521630,-112.50735995688368
220,39.648158452481525
393420,200.73785215436607
22330,23.823797014891387
20920,49.56751695875761
3910,6.163138061932741
252530,-12.870053617161458
360430,13.48257572196277
391540,2.0087391615831733
12120,21.358769287378713
20900,80.48830666785416
431240,40.711166727501684
466560,80.91083551318074
6060,-14.513341512271879
10090,-2.6549506405908216
333420,8.20793955335249
235540,6.013163372509659
269210,136.03883742875428
65930,-5.033031327120671
310950,19.571674042327412
275850,208.01007087628713
367500,17.936926341948634
448440,168.9748367239615
12210,-5.76244929021191
226840,24.37502656241205
601430,74.92930473911777
675010,11.55623044978354
17390,9.602586938473097
646570,93.5562572797404
297000,22.493970641269662
263280,-28.8220295553873
206420,-1.9825393306729713
220240,42.395847208259895
521890,19.79128836644828
299740,6.388268240653308
65980,1.4591714625765586
219640,3.575938307639511
588650,62.727587619470555
55230,-1.3404756361707453
221680,13.801512835518391
208580,3.6094305950857515
310560,83.88629788230851
434650,40.33852759214151
393430,236.41962227162475
200710,32.50625547643836
205100,48.147281449675816
349040,19.112780123961155
300,-0.040567398409595036
213670,17.66500484614917
50130,24.234815806337675
334230,20.19558392205
245620,-10.28834701436463
204880,-8.415870735979905
449540,12.6809895957578
451340,1.4443996042714007
80,-3.934429201457186
376210,41.16597636029784
488790,25.524762320842115
